INFP,INFP,4
INFP,ENFP,4
INFP,INFJ,5
INFP,ENFJ,3
INFP,INTJ,5
INFP,ENTJ,3
INFP,INTP,4
INFP,ENTP,2
INFP,ISFP,1
INFP,ESFP,1
INFP,ISTP,1
INFP,ESTP,1
INFP,ISFJ,2
INFP,ESFJ,2
INFP,ISTJ,2
INFP,ESTJ,2
ENFP,INFP,4
ENFP,ENFP,4
ENFP,INFJ,5
ENFP,ENFJ,3
ENFP,INTJ,5
ENFP,ENTJ,3
ENFP,INTP,4
ENFP,ENTP,2
ENFP,ISFP,1
ENFP,ESFP,1
ENFP,ISTP,1
ENFP,ESTP,1
ENFP,ISFJ,2
ENFP,ESFJ,2
ENFP,ISTJ,2
ENFP,ESTJ,2
INFJ,INFP,5
INFJ,ENFP,5
INFJ,INFJ,4
INFJ,ENFJ,4
INFJ,INTJ,4
INFJ,ENTJ,3
INFJ,INTP,4
INFJ,ENTP,3
INFJ,ISFP,2
INFJ,ESFP,2
INFJ,ISTP,2
INFJ,ESTP,2
INFJ,ISFJ,3
INFJ,ESFJ,3
INFJ,ISTJ,2
INFJ,ESTJ,2
ENFJ,INFP,3
ENFJ,ENFP,3
ENFJ,INFJ,4
ENFJ,ENFJ,4
ENFJ,INTJ,4
ENFJ,ENTJ,4
ENFJ,INTP,3
ENFJ,ENTP,3
ENFJ,ISFP,3
ENFJ,ESFP,3
ENFJ,ISTP,2
ENFJ,ESTP,2
ENFJ,ISFJ,4
ENFJ,ESFJ,4
ENFJ,ISTJ,2
ENFJ,ESTJ,2
INTJ,INFP,5
INTJ,ENFP,5
INTJ,INFJ,4
INTJ,ENFJ,4
INTJ,INTJ,4
INTJ,ENTJ,4
INTJ,INTP,4
INTJ,ENTP,4
INTJ,ISFP,3
INTJ,ESFP,3
INTJ,ISTP,3
INTJ,ESTP,3
INTJ,ISFJ,2
INTJ,ESFJ,2
INTJ,ISTJ,3
INTJ,ESTJ,2
ENTJ,INFP,3
ENTJ,ENFP,3
ENTJ,INFJ,3
ENTJ,ENFJ,4
ENTJ,INTJ,4
ENTJ,ENTJ,4
ENTJ,INTP,3
ENTJ,ENTP,4
ENTJ,ISFP,2
ENTJ,ESFP,2
ENTJ,ISTP,2
ENTJ,ESTP,2
ENTJ,ISFJ,2
ENTJ,ESFJ,2
ENTJ,ISTJ,2
ENTJ,ESTJ,2
INTP,INFP,4
INTP,ENFP,4
INTP,INFJ,4
INTP,ENFJ,3
INTP,INTJ,4
INTP,ENTJ,3
INTP,INTP,4
INTP,ENTP,4
INTP,ISFP,2
INTP,ESFP,2
INTP,ISTP,2
INTP,ESTP,2
INTP,ISFJ,3
INTP,ESFJ,3
INTP,ISTJ,2
INTP,ESTJ,2
ENTP,INFP,2
ENTP,ENFP,2
ENTP,INFJ,3
ENTP,ENFJ,3
ENTP,INTJ,4
ENTP,ENTJ,4
ENTP,INTP,4
ENTP,ENTP,4
ENTP,ISFP,3
ENTP,ESFP,3
ENTP,ISTP,3
ENTP,ESTP,3
ENTP,ISFJ,3
ENTP,ESFJ,3
ENTP,ISTJ,2
